time,diversity,concentration
0,1.0,0.1
1,0.99,0.10300000000000001
2,0.9801,0.10609000000000002
3,0.9702989999999999,0.10927270000000001
4,0.96059601,0.11255088100000002
5,0.9509900498999999,0.11592740743000002
6,0.9414801494009999,0.11940522965290003
7,0.9320653479069899,0.12298738654248703
8,0.92274469442792,0.12667700813876165
9,0.9135172474836407,0.1304773183829245
10,0.9043820750088043,0.13439163793441225
11,0.8953382542587163,0.13842338707244461
12,0.8863848717161291,0.14257608868461796
13,0.8775210229989678,0.1468533713451565
14,0.8687458127689781,0.1512589724855112
15,0.8600583546412883,0.15579674166007654
16,0.8514577710948754,0.16047064390987884
17,0.8429431933839266,0.1652847632271752
18,0.8345137614500874,0.17024330612399047
19,0.8261686238355865,0.17535060530771018
20,0.8179069375972307,0.1806111234669415
21,0.8097278682212583,0.18602945717094974
22,0.8016305895390458,0.19161034088607823
23,0.7936142836436553,0.19735865111266057
24,0.7856781408072188,0.20327941064604038
25,0.7778213593991465,0.2093777929654216
26,0.7700431458051551,0.21565912675438426
27,0.7623427143471035,0.22212890055701578
28,0.7547192872036325,0.22879276757372627
29,0.7471720943315961,0.23565655060093807
30,0.7397003733882802,0.2427262471189662
31,0.7323033696543974,0.2500080345325352
32,0.7249803359578534,0.25750827556851125
33,0.7177305325982748,0.2652335238355666
34,0.7105532272722921,0.2731905295506336
35,0.7034476949995692,0.2813862454371526
36,0.6964132180495735,0.2898278328002672
37,0.6894490858690777,0.2985226677842752
38,0.682554595010387,0.3074783478178035
39,0.6757290490602831,0.3167026982523376
40,0.6689717585696803,0.32620377919990773
41,0.6622820409839835,0.33598989257590495
42,0.6556592205741436,0.3460695893531821
43,0.6491026283684022,0.35645167703377756
44,0.6426116020847181,0.3671452273447909
45,0.6361854860638709,0.3781595841651346
46,0.6298236312032323,0.38950437169008867
47,0.6235253948912,0.40118950284079136
48,0.617290140942288,0.4132251879260151
49,0.6111172395328651,0.42562194356379557
50,0.6050060671375365,0.43839060187070944
51,0.5989560064661611,0.45154231992683075
52,0.5929664464014994,0.46508858952463566
53,0.5870367819374844,0.4790412472103747
54,0.5811664141181095,0.49341248462668597
55,0.5753547499769285,0.5082148591654866
56,0.5696012024771592,0.5234613049404512
57,0.5639051904523876,0.5391651440886647
58,0.5582661385478638,0.5553400984113246
59,0.5526834771623851,0.5720003013636643
60,0.5471566423907612,0.5891603104045743
61,0.5416850759668536,0.6068351197167116
62,0.536268225207185,0.6250401733082129
63,0.5309055429551132,0.6437913785074594
64,0.525596487525562,0.6631051198626832
65,0.5203405226503064,0.6829982734585637
66,0.5151371174238033,0.7034882216623206
67,0.5099857462495653,0.7245928683121903
68,0.5048858887870696,0.746330654361556
69,0.4998370298991989,0.7687205739924027
70,0.49483865960020695,0.7917821912121747
71,0.4898902730042049,0.81553565694854
72,0.48499137027416284,0.8400017266569962
73,0.4801414565714212,0.8652017784567061
74,0.475340042005707,0.8911578318104073
75,0.47058664158564995,0.9178925667647195
76,0.4658807751697934,0.9454293437676612
77,0.4612219674180955,0.95
78,0.45660974774391455,0.95
79,0.4520436502664754,0.95
80,0.44752321376381066,0.95
81,0.44304798162617254,0.95
82,0.4386175018099108,0.95
83,0.4342313267918117,0.95
84,0.4298890135238936,0.95
85,0.42559012338865465,0.95
86,0.4213342221547681,0.95
87,0.41712087993322045,0.95
88,0.41294967113388825,0.95
89,0.40882017442254937,0.95
90,0.4047319726783239,0.95
91,0.40068465295154065,0.95
92,0.39667780642202527,0.95
93,0.392711028357805,0.95
94,0.38878391807422696,0.95
95,0.3848960788934847,0.95
96,0.38104711810454983,0.95
97,0.37723664692350434,0.95
98,0.37346428045426927,0.95
99,0.36972963764972655,0.95
100,0.36603234127322926,0.95
101,0.36237201786049694,0.95
102,0.358748297681892,0.95
103,0.35516081470507305,0.95
104,0.3516092065580223,0.95
105,0.35,0.95
106,0.35,0.95
107,0.35,0.95
108,0.35,0.95
109,0.35,0.95
110,0.35,0.95
111,0.35,0.95
112,0.35,0.95
113,0.35,0.95
114,0.35,0.95
115,0.35,0.95
116,0.35,0.95
117,0.35,0.95
118,0.35,0.95
119,0.35,0.95
120,0.35,0.95
121,0.35,0.95
122,0.35,0.95
123,0.35,0.95
124,0.35,0.95
125,0.35,0.95
126,0.35,0.95
127,0.35,0.95
128,0.35,0.95
129,0.35,0.95
130,0.35,0.95
131,0.35,0.95
132,0.35,0.95
133,0.35,0.95
134,0.35,0.95
135,0.35,0.95
136,0.35,0.95
137,0.35,0.95
138,0.35,0.95
139,0.35,0.95
140,0.35,0.95
141,0.35,0.95
142,0.35,0.95
143,0.35,0.95
144,0.35,0.95
145,0.35,0.95
146,0.35,0.95
147,0.35,0.95
148,0.35,0.95
149,0.35,0.95
